,Site Name,Lon (deg),Lat (deg),(mm/yr),,,
#,,,,Ve,Vn,?Ve,?Vn
1,AIYU*,145.905,-6.340,26.2,49.4,2.9,1.9
2,BOGI*,144.968,-4.295,26.5,42.8,1.9,1.6
3,BUBI*,146.913,-6.668,25.5,53.9,1.2,1.0
4,BUKA*,147.356,-6.729,24.1,31.5,1.5,1.3
5,BULO*,146.626,-7.207,24.9,60.4,1.8,1.4
6,CARTx,155.463,-4.783,-61.2,19.3,4.6,2.4
7,FINS*,147.855,-6.615,-0.4,6.0,2.1,1.4
8,GAIX*,146.747,6.443,8.7,30.5,1.6,1.4
9,GOKA*,145.392,6.081,24.6,45.2,1.2,1.0
10,HAGE*,144.307,5.832,27.4,47.9,1.6,1.3
11,HOBU*,147.032,6.568,8.4,33.3,1.3,1.1
12,INDA*,147.246,6.226,14.5,24.4,1.7,1.4
13,KASU*,146.718,6.461,15.9,35.9,1.9,1.3
14,LAE0*,146.999,6.733,29.1,53.0,2.2,1.4
15,LAE1*,146.993,6.674,25.4,51.3,1.1,1.0
16,MADA*,145.782,5.211,23.0,36.1,1.3,1.0
17,MORX*,147.579,7.771,28.3,58.4,2.7,1.7
18,MUNG*,146.715,6.488,15.0,36.9,1.4,1.2
19,NADZ*,146.728,6.573,26.4,55.3,1.1,0.9
20,NARI*,146.453,6.347,13.0,40.1,5.1,2.8
21,NM31*,146.227,6.179,16.0,38.5,2.3,1.4
22,NM32*,146.169,6.212,27.1,48.1,2.2,1.5
23,NM33*,146.097,6.164,26.0,45.9,1.9,1.4
24,NM34*,146.081,6.148,25.8,47.0,1.7,1.3
25,NM35*,146.091,6.125,24.7,44.9,2.2,1.4
26,NM36*,146.101,6.126,24.0,44.7,2.1,1.4
27,OMSI*,146.830,6.673,29.6,53.4,3.1,1.6
28,PIND*,147.513,6.445,10.5,20.1,1.6,1.2
29,SAID*,146.459,5.625,19.1,32.4,2.3,1.7
30,SALA*,147.052,7.052,22.5,60.1,3.6,2.0
31,SANG*,146.321,6.395,26.0,48.1,1.7,1.4
32,SASI*,146.425,6.419,21.9,48.5,4.4,2.6
33,SITU*,147.056,6.644,26.5,49.1,1.4,1.1
34,TEPT*,146.560,5.954,12.8,32.3,3.5,2.6
35,TERE*,146.552,6.539,24.7,52.8,1.7,1.4
36,WALI*,145.459,5.597,22.7,44.5,2.2,1.7
37,WANT*,146.469,6.135,11.2,33.0,1.6,1.3
38,WASU*,147.195,5.962,14.8,18.2,1.8,1.3
39,YALU*,146.867,6.602,25.2,54.3,1.2,1.0
40,GUA1+,152.944,-9.225,23.4,78.9,1.1,0.5
41,LOUSx,151.125,-8.535,22.1,76.0,2.5,1.4
42,JACQy,151.505,-5.645,19.5,-53.2,3.0,1.2
43,MAD1y,145.782,-6.212,25.1,34.7,1.2,0.6
44,WITUy,149.435,-4.688,30.4,-24.4,2.0,0.8
45,KAVIz,150.807,-2.582,-62.5,27.4,1.7,1.1
46,MANUx,147.360,-2.050,-62.9,28.2,2.9,1.8
