,,Kostrov strain rates,,,,Largest events,
Zone,N,Shortening,,Extension,,,
,,?1 (yr-1),? (deg); ? (deg),?3 (yr-1),? (deg); ? (deg),Mw,Depth (km)
MTB,84,-1.0 x 10-8,44; 25,3.1 x 10-9,316; 5,7,15
WWK,26,-9.8 x 10-8,48; 18,2.7 x 10-9,327; 25,7.6,19.5
RMF1,20,-5.9 x 10-9,201; 18,2.2 x 10-9,118; 20,6.7,20.2
RMF2,147,-3.5 x 10-8,208; 13,1.1 x 10-8,291; 29,7.3,15
NBT1,145,-4.5 x 10-8,359; 14,-0.1 x 10-9,89; 1,7.3,47.8
NBT2,389,-1.4 x 10-7,344; 18,-9.5 x 10-9,270; 6,7.8,17
BSSL1,101,-1.4 x 10-8,219; 7,1.4 x 10-8,309; 7,6.8,11.3
BSSL2,159,-1.1 x 10-8,229; 9,1.2 x 10-8,310; 5,6.6,15
BSSL3,168,-9.3 x 10-9,64; 4,9.3 x 10-9,154; 4,6.4,15
BSSL4,155,-1.0 x 10-8,256; 3,1.0 x 10-8,346; 5,6.7,15
NIR,146,-2.09 x 10-7,104; 20,1.9 x 10-7,181; 30,8,24
NOS1,384,-1.04 x 10-7,203; 13,-3.8 x 10-8,290; 12,7.8,31
NOS2,219,-1.69 x 10-7,222; 11,9.0 x 10-9,309; 17,8.1,14.1
WLB1,59,-1.2 x 10-9,51; 3,1.5 x 10-9,141; 1,6.6,15
WLB2,48,-1.1 x 10-9,276; 0,2.9 x 10-9,186; 4,6.4,10
OSR,34,-4.0 x 10-10,317; 40,-2.0 x 10-11,246; 22,6.4,10

------------------------------------------------------------
Table 2: Results of Kostrov summation for the 16 subareas defined in Fig. 4. The eigenvalues (ε1 & ε3) of Kostrov strain rates represent shortening and extension, respectively, as well as their trends (θ, in degrees from north) and plunges (δ, degrees). N is the total number of focal mechanisms in each zone. For the largest events in each of the subareas, their moment magnitudes (Mw) and depths are listed and their focal mechanisms are plotted in Fig. 5b.
