Zone,N,Principal stress orientations,,,"Shape ratio,",
,,"(Azimuth, θ; Plunge, δ)",,,R,
,,σ1 (θ; δ) ,σ2 (θ; δ),σ3 (θ; δ),,
MTB,84,     58; 47,  200; 36,  305; 20,0.81,
WWK,26,     34; 16,  259; 69,  128; 14,0.98,
RMF1,20,     13; 1,  108; 77,  283; 13,0.79,
RMF2,147,   206; 17,  110; 18,  335; 65,0.95,
BSSL1,101,     41; 8,  142; 55,  305; 34,0.91,
BSSL2,159,     42; 1,  300; 85,  132; 5,0.69,
BSSL3,168,     64; 3,  202; 86,  334; 3,0.55,
BSSL4,155,   248; 8,    99; 81,  339; 5,0.51,
NBT1,145,   217; 6,  126; 8,  342; 80,0.2,
NBT2,389,   138; 14,   230; 10,  354; 73,0.13,
NIR,146,   262; 7,  166; 38,      1; 51,0.64,
NOS1 ,384,   210; 16,  119; 4,    15; 74,0.26,
NOS2,219,   221; 11,  130; 3,    25; 79,0.91,
WLB1,59,     84; 83,  246; 7,  337; 2,0.18,
WLB2,48,   274; 69,    95; 21,      5; 0,0.12,
OSR,34,   121; 33,  285; 57,    26; 7,0.67,

----------------------------------------------------
Table 3: Total focal mechanism data for N earthquakes in each of the 16 subregions used for stress inversion and the output of Stress Inverse (SI). θ, is the azimuth (in degrees from north) and δ, is the plunge (in degrees) of the most compressive (σ1), intermediate (σ2), and least compressive (σ3) stresses where σ1 > σ2 > σ3.
