      Site,,,,               ITRF08,,               AUS-fix,,,
#,Name,Long,Lat,Ve (mm/yr),Vn (mm/yr),Ve (mm/yr),Vn (mm/yr),σe,σn
1,ALT2,150.338,-10.310,33.54,56.81,0.82,1.08,0.52,0.99
2,BASM,150.833,-9.466,34.82,69.45,1.77,13.91,1.11,1.38
3,BAYA,149.474,-9.608,34.55,61.59,1.35,5.55,0.83,0.58
4,BWAR,151.185,-9.940,35.65,58.77,2.89,3.37,1.27,1.09
5,DAIO,150.427,-10.408,34.21,57.73,1.55,2.04,0.93,0.83
6,DARB,151.015,-9.927,33.37,58.65,0.58,3.18,0.99,1.19
7,DIGA,151.204,-10.200,34.61,59.11,1.98,3.71,0.96,1.14
8,ESAA,150.812,-9.739,36.25,61.20,3.33,5.65,0.84,0.8
9,GIWA,149.794,-9.780,36.58,63.00,3.51,7.07,0.55,1.06
10,GUA1,152.944,-9.225,23.44,78.90,-9.40,24.21,1.09,0.46
11,GUMA,150.865,-9.210,32.13,71.78,-1.04,16.25,1.81,1.81
12,HEHE,150.874,-10.226,34.27,58.86,1.60,3.34,1.29,0.95
13,JONE,150.102,-10.095,34.82,59.22,1.95,3.40,0.7,0.92
14,KALO,150.430,-9.414,35.05,64.72,1.91,9.03,2.01,0.87
15,KAWA,150.299,-8.522,26.07,70.88,-7.51,15.14,1.48,1.24
16,KEIA,150.554,-10.213,34.67,58.27,1.94,2.62,1.52,1.03
17,KILI,150.292,-9.496,35.20,64.02,2.08,8.28,1.16,1.2
18,KURA,151.036,-10.110,34.44,57.44,1.74,1.98,1.8,0.69
19,KWAN,151.274,-9.923,33.48,59.48,0.73,4.11,1.16,0.68
20,KWAT,150.712,-9.311,32.10,71.31,-1.04,15.72,0.85,0.85
21,LELE,150.728,-10.302,33.82,55.94,1.16,0.36,0.8,1.47
22,LOS2,151.125,-8.535,24.86,71.13,-8.59,15.70,0.89,0.29
23,MAPA,150.437,-9.610,34.96,63.67,1.92,7.98,1.72,1.16
24,MENA,149.936,-9.757,35.49,62.81,2.44,6.93,0.27,1.58
25,MORA,150.187,-9.432,32.48,66.08,-0.69,10.30,0.9,1.02
26,NUBE,149.867,-10.399,33.98,56.58,1.22,0.68,0.49,0.57
27,PEMM,149.795,-9.621,36.58,62.84,3.44,6.91,0.54,0.68
28,RABA,149.834,-9.972,35.83,62.48,2.86,6.57,0.57,0.85
29,SALM,150.796,-9.663,35.59,65.42,2.63,9.87,1.56,0.9
30,SIBA,150.268,-10.684,33.26,57.40,0.71,1.65,0.95,0.65
31,SIRI,149.708,-9.841,37.04,58.35,3.99,2.39,0.83,2.28
32,SMRI,150.662,-10.613,33.00,57.22,0.48,1.62,0.45,0.69
33,STRA,151.868,-10.225,35.09,59.33,2.59,4.20,0.85,0.48
34,TUF2,149.318,-9.079,31.11,64.40,-2.36,8.30,0.84,0.65
35,TUFI,149.323,-9.080,30.60,63.79,-2.87,7.69,1.6,1.1
36,UAMA,150.953,-9.452,33.70,71.71,0.66,16.22,1.72,1.64
37,VAKU,151.184,-8.853,29.55,74.30,-3.74,18.90,0.68,0.61
38,VIVI,150.324,-9.310,34.21,66.10,1.01,10.37,0.58,0.48
39,WAIB,150.139,-9.245,31.88,67.53,-1.38,11.73,0.85,0.7
40,WANI,149.157,-9.338,32.76,63.39,-0.61,7.23,0.9,0.68
41,WAPO,150.532,-9.355,33.51,69.43,0.36,13.78,1.72,2.1
42,WATL,150.243,-9.211,33.37,66.83,0.11,11.07,0.83,0.46
43,YANA,151.897,-9.271,33.37,75.61,0.39,20.49,1.16,1.08
